year,age,gender,lr_avg,rp_avg,ao_avg,t_pf_avg,count_obs
2018,75,m,1044085.1376,308678.31197,28657.796384,1381421.246,7411
2018,76,m,1080991.6652,244332.04054,10334.258236,1335657.964,6192
2018,77,m,1073517.8311,240100.43231,4784.6952855,1318402.9587,4624
2018,78,m,1012363.1068,151884.02971,2166.5596895,1166413.6962,3736
2018,79,m,1069884.69,138951.06756,577.54529148,1209413.3028,3345
2018,80,m,1117643.8769,123622.06623,1032.5258777,1242298.4691,2763
2018,81,m,1078691.6498,113530.01577,377.2153527,1192598.8809,2410
2018,82,m,1022880.0966,57702.056237,2388.9856851,1082971.1385,1956
2018,83,m,906047.72202,38367.933213,1815.8405535,946231.49579,1662
2018,84,m,927508.75292,39906.507915,1372.0406056,968787.30145,1453
2018,85,m,871697.0663,25306.398579,478.37805841,897481.84294,1267
2018,86,m,785810.64008,14892.700409,501.44989775,801204.79039,978
2018,87,m,723693.34976,16159.350962,935.49639423,740788.19712,832
2018,88,m,715609.92529,13948.259502,1732.0891219,731290.27392,763
2018,89,m,563220.2429,5409.7649842,497.90063091,569127.90852,634
2018,90,m,465364.21839,8350.4367816,770.78927203,474485.44444,522
2018,91,m,439653.83602,9427.8010753,339.12903226,449420.76613,372
2018,92,m,406933.51282,1105.5071225,121.20512821,408160.22507,351
2018,93,m,358847.6145,11590.282443,254.9351145,370692.83206,262
2018,94,m,395408.06667,4730.7190476,0,400138.78571,210
2018,95,m,257674.35965,782.98245614,0,258457.34211,114
2018,96,m,364149.86598,912.84536082,990.12371134,366052.83505,97
2018,97,m,233803.08197,5495.4590164,0,239298.54098,61
2018,98,m,265669.025,0,0,265669.025,40
2018,99,m,239541.12903,410.16129032,0,239951.29032,31
2018,100,m,176780.46154,0,0,176780.46154,13
