year,KOEN,ALDER,FGNF,FGAKTIV,FGA,FGB,FGCX,nettoform_u_pf,FGPASSIV
2018,2,33,311084.98859,868198.58781,629164.16556,86813.906309,152220.51595,158864.47265,557113.59922
2018,2,34,353487.6837,940209.10711,675811.92821,90532.575527,173864.60337,179623.08033,586721.42341
2018,2,35,402549.75128,1017756.9213,722575.87078,95397.189433,199783.86104,202765.89023,615207.16998
2018,2,36,439806.19504,1070781.005,747925.8062,97481.167331,225374.03146,214432.16358,630974.80995
2018,2,37,480131.78924,1133271.0393,776063.91222,102012.48578,255194.64134,224937.14791,653139.25009
2018,2,38,539107.25456,1213594.4384,821922.90718,105911.95335,285759.57789,253347.67666,674487.18387
2018,2,39,593462.16257,1291548.9615,865790.74377,111230.45544,314527.76226,278934.40031,698086.7989
2018,2,40,651358.52996,1357343.4077,891616.10827,117517.54536,348209.7541,303148.77585,705984.87777
2018,2,41,700401.99825,1413868.1116,916092.7644,121996.38748,375778.95972,324623.03853,713466.11335
2018,2,42,764719.68053,1471928.4713,932167.30715,130614.55679,409146.60734,355573.07319,707208.79075
2018,2,43,807141.20919,1508619.5158,934789.05982,135536.09774,438294.35823,368846.85096,701478.30661
2018,2,44,877503.31639,1585192.7968,971688.1058,143148.78168,470355.90932,407147.40707,707689.48041
2018,2,45,924916.19678,1613825.8964,967172.63795,147617.98889,499035.26958,425880.9272,688909.69964
2018,2,46,980057.32728,1673329.1608,988771.4887,154427.73001,530129.94208,449927.3852,693271.83351
2018,2,47,1023314.3215,1703911.4208,983190.93836,162712.39936,558008.08312,465306.2384,680597.09931
2018,2,48,1059182.8522,1722250.9561,976189.00672,166827.44743,579234.50196,479948.35021,663068.10394
2018,2,49,1107975.6039,1750205.9157,967341.33332,171311.16185,611553.42054,496422.18333,642230.31184
2018,2,50,1161325.779,1796992.4505,972066.66285,177549.18152,647376.60609,513949.17292,635666.67145
2018,2,51,1230152.8778,1861607.1086,984613.14368,185688.61395,691305.35096,538847.52689,631454.23074
2018,2,52,1282851.0154,1908352.3064,985066.25544,198016.20579,725269.84518,557581.17026,625501.29097
2018,2,53,1339009.4478,1945753.1081,981414.45061,206861.23979,757477.41769,581532.03006,606743.66033
2018,2,54,1358939.2559,1941216.2781,952608.51013,210083.61319,778524.15476,580415.1011,582277.02223
2018,2,55,1429696.3407,1998779.2111,951545.84492,216344.926,830888.44019,598807.90053,569082.87039
2018,2,56,1500738.8024,2050011.6178,948620.21686,230463.32648,870928.07442,629810.72797,549272.81537
2018,2,57,1570825.5429,2104529.1395,942249.70118,242401.50116,919877.9372,650947.60565,533703.59669
2018,2,58,1645053.2648,2162225.0779,943337.87164,254780.4351,964106.77115,680946.49362,517171.81313
2018,2,59,1720370.9016,2224510.3464,936492.65203,267250.66646,1020767.0279,699603.87374,504139.44475
2018,2,60,1771282.5857,2241543.6258,905208.83999,274971.06443,1061363.7214,709918.86429,470261.04013
2018,2,61,1836626.9266,2294471.8715,900626.14367,294152.80865,1099692.9192,736934.00741,457844.94491
2018,2,62,1909905.8821,2350117.6275,883435.77219,307454.73553,1159227.1197,750678.76232,440211.74539
2018,2,63,1955778.2213,2372168.2051,870815.88747,315121.76367,1186230.5539,769547.66734,416389.9838
2018,2,64,1963568.4592,2361629.1554,852582.06853,313268.70589,1195778.381,767790.0782,398060.69622
2018,2,65,1961519.7172,2339220.7484,845418.92095,337581.52045,1156220.307,805299.41025,377701.03116
2018,2,66,1959899.8877,2325948.1301,842015.53038,343079.05028,1140853.5494,819046.33824,366048.24242
2018,2,67,1906056.9251,2257681.0379,832286.41667,343330.85265,1082063.7686,823993.15651,351624.1128
2018,2,68,1827015.8987,2172582.6449,823240.62944,329033.15313,1020308.8623,806707.03636,345566.7462
2018,2,69,1768284.3068,2098748.0415,814085.31975,329423.43113,955239.29058,813045.01622,330463.73467
2018,2,70,1722374.3361,2046136.4635,809399.83924,329722.19843,907014.4258,815359.91035,323762.12733
2018,2,71,1612669.5881,1921093.0935,776852.97338,327974.63512,816265.485,796404.10309,308423.50542
2018,2,72,1560423.3074,1857432.1169,769645.66142,325970.93892,761815.51657,798607.79084,297008.8095
2018,2,73,1474978.0622,1761780.8449,750465.56456,326652.2288,684663.05153,790315.01066,286802.7827
2018,2,74,1409329.5041,1681966.6598,733227.51532,331177.1206,617562.02384,791767.48022,272637.1557
2018,2,75,1367558.6958,1627089.6042,728145.19462,339336.60228,559607.80732,807950.88846,259530.90843
2018,2,76,1273413.2588,1513107.1059,695144.8206,379460.48748,438501.79784,834911.46097,239693.84711
2018,2,77,1176005.0894,1390405.8948,646142.49413,370297.54373,373965.85695,802039.23246,214400.8054
2018,2,78,1141103.0086,1346352.6134,643199.30667,368946.80274,334206.50398,806896.50467,205249.60474
2018,2,79,1125217.6445,1318733.2852,634863.61358,375855.50183,308014.1698,817203.4747,193515.64071
